driverId,driverRef,driverRating,carRating,constructorStrategy,2021_points,2021_standing,2022_points,2022_standing,2023_points,2023_standing,2024_points_TillNow
1,hamilton,60,50,50,387.5,2,240,6,234,3,19
4,alonso,100,80,75,81,10,81,9,206,4,31
806,hulkenberg,60,40,30,4,19,0,19,9,16,4
815,perez,75,100,99,190,4,305,3,285,2,85
817,ricciardo,15,30,45,115,8,37,11,6,17,0
822,bottas,50,5,5,226,3,49,10,10,15,0
825,kevin_magnussen,60,40,30,14,16,25,13,3,19,1
830,max_verstappen,100,100,99,395.5,1,454,1,575,1,110
832,sainz,75,85,60,164.5,5,246,5,200,7,69
839,ocon,55,40,30,74,11,92,8,58,12,0
840,stroll,55,80,75,34,13,18,15,74,10,9
842,gasly,60,40,30,110,9,23,14,62,11,0
844,leclerc,70,85,60,159,7,308,2,206,5,76
846,norris,75,70,72,160,6,122,7,205,6,58
847,russell,65,50,50,16,15,275,4,175,8,33
848,albon,75,20,25,11,17,4,18,27,13,0
852,tsunoda,50,30,45,32,14,12,16,17,14,7
855,zhou,50,5,5,6,18,6,17,6,18,0
857,piastri,70,70,72,47,12,30,12,97,9,38
858,sargeant,30,20,25,1,20,1,20,1,20,0
